Type,Coverage,OdName,AREA,AreaName,REG,RegName,DEV,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Emigrants,Foreigners,Afghanistan,935,Asia,5501,Southern Asia,902,Developing regions,585,844,1336,859,522,442,395,364,396,445,572,999,1022,1231,1332,1403,1720,2199,2639,2093,..,2632,2144,1778,1908,1700,1615,1184,1510,..,..,..,..,..
Emigrants,Foreigners,Albania,908,Europe,925,Southern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,96,520,1201,3267,4380,2149,1541,1656,1599,1483,..,1170,994,1086,1059,864,735,683,829,..,..,..,..,..
Emigrants,Foreigners,Algeria,903,Africa,912,Northern Africa,902,Developing regions,842,636,584,676,546,618,543,472,526,627,0,811,1063,4726,5950,3270,2753,2193,0,0,..,2287,2254,2403,2373,1730,1420,1312,1352,..,..,..,..,..
Emigrants,Foreigners,Andorra,908,Europe,925,Southern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,4,4,6,0,0,..,0,0,4,6,3,1,4,1,..,..,..,..,..
Emigrants,Foreigners,Angola,903,Africa,911,Middle Africa,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,880,1074,1084,852,636,679,734,0,0,..,446,508,535,452,456,372,464,441,..,..,..,..,..
Emigrants,Foreigners,Antigua and Barbuda,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,6,3,2,0,0,..,0,0,1,0,1,1,0,3,..,..,..,..,..
Emigrants,Foreigners,Argentina,904,Latin America and the Caribbean,931,South America,902,Developing regions,713,877,1266,1243,945,719,679,572,567,520,593,676,669,719,633,567,550,575,595,594,..,598,659,754,721,642,694,647,884,..,..,..,..,..
Emigrants,Foreigners,Armenia,935,Asia,922,Western Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,55,690,2023,2312,2424,3070,0,0,..,0,0,1253,1397,1114,1007,1014,858,..,..,..,..,..
Emigrants,Foreigners,Australia,909,Oceania,927,Australia and New Zealand,901,Developed regions,1147,1191,1041,946,886,897,985,890,802,927,0,1037,1047,1181,1151,1116,1083,1147,1932,0,..,1290,1401,1541,1498,1485,1549,1587,2120,..,..,..,..,..
Emigrants,Foreigners,Austria,908,Europe,926,Western Europe,901,Developed regions,17195,19217,16621,12991,11937,11548,10160,9568,9925,10585,10639,12757,10919,10402,10426,9846,10079,10568,9657,9678,..,9076,9261,8663,9458,7639,7870,8188,9776,..,..,..,..,..
Emigrants,Foreigners,Azerbaijan,935,Asia,922,Western Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,50,112,292,300,432,498,0,0,..,0,0,1109,1525,1315,1020,896,950,..,..,..,..,..
Emigrants,Foreigners,Bahamas,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,3,4,7,10,8,7,9,0,0,..,0,0,11,4,9,7,6,6,..,..,..,..,..
Emigrants,Foreigners,Bahrain,935,Asia,922,Western Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,9,6,5,15,2,1,6,0,0,..,0,0,3,8,14,11,20,50,..,..,..,..,..
Emigrants,Foreigners,Bangladesh,935,Asia,5501,Southern Asia,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,411,494,749,1224,1087,1495,1073,1414,1358,..,655,422,393,419,334,338,321,320,..,..,..,..,..
Emigrants,Foreigners,Barbados,904,Latin America and the Caribbean,915,Caribbean,902,Developing regions,0,0,0,0,0,0,0,0,0,0,0,14,12,16,16,21,15,14,0,0,..,0,0,9,10,12,7,12,13,..,..,..,..,..
Emigrants,Foreigners,Belarus,908,Europe,923,Eastern Europe,901,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,373,609,1027,1128,968,1074,1006,1049,..,1473,1801,2064,1977,1579,1351,1109,1292,..,..,..,..,..
Emigrants,Foreigners,Belgium,908,Europe,926,Western Europe,901,Developed regions,1130,1261,1243,1193,1212,1138,1184,1169,1119,1234,1307,1463,1367,1435,1871,1697,1742,1840,1788,1930,..,1623,1728,1688,1897,1517,1620,1658,1894,..,..,..,..,..
