order,Area,notes,Country,small,Age04,Age59,Age915,Age1519,Age2024,Age2529,Age3034,Age3539,Age4044,Age4549,Age5054,Age5559,Age6064,Age65plus
9,Burundi,,108,No,1886.243,1462.528,1167.554,1053.37,1000.926,872.362,671.215,477.099,363.01,315.764,270.393,225.239,152.774,244.057
10,Comoros,,174,No,116.247,104.082,88.768,72.177,61.803,59.453,53.078,41.625,34.131,28.415,23.38,18.273,12.623,20.862
11,Djibouti,,262,No,108.523,96.842,88.399,89.648,93.517,80.278,64.3,57.665,45.585,39.657,32.55,23.398,17.904,34.666
12,Eritrea,,232,No,1062.768,917.595,750.588,633.759,611.653,572.22,473.022,345.482,248.581,196.813,159.626,123.772,94.801,142.459
13,Ethiopia,,231,No,14254.55,13332.894,12564.361,11026.324,8841.939,7112.763,5901.847,4724.597,3921.2,3042.379,2462.022,2041.578,1653.743,3220.56
14,Kenya,,404,No,7051.217,6303.526,5370.089,4541.915,4177.843,3881.344,3216.237,2483.628,1856.08,1425.145,1166.424,961.989,733.238,1185.015
15,Madagascar,,450,No,3603.876,3202.479,2905.744,2551.83,2124.678,1706.983,1421.421,1288.215,1039.318,831.952,673.636,539.109,390.736,644.873
16,Malawi,,454,No,2842.628,2489.764,2067.833,1826.398,1551.663,1230.451,1018.479,821.806,564.313,440.443,382.826,322.795,280.394,522.772
17,Mauritius,(1),480,No,71.762,81.337,92.65,97.142,99.029,91.029,96.111,98.24,86.356,92.328,91.804,75.958,61.936,108.721
18,Mayotte,,175,No,34.441,36.973,29.409,20.024,16.262,14.087,13.439,15.2,13.735,9.881,6.149,4.423,3.182,4.948
19,Mozambique,,508,No,4417.134,3947.632,3350.261,2705.156,2313.77,1930.612,1571.348,1254.46,983.104,801.446,685.825,572.747,454.785,845.469
20,Réunion,,638,No,73.275,74.685,71.987,67.524,71.135,70.643,60.737,52.886,56.483,63.876,56.725,45.877,35.063,74.477
21,Rwanda,,646,No,1887.958,1626.679,1524.13,1352.359,996.403,1062.207,854.398,616.126,440.072,367.449,324.691,248.733,195.835,279.481
22,Seychelles,,690,No,7.189,6.552,6.838,7.041,7.269,7.55,7.551,7.515,7.464,7.033,6.281,4.474,2.92,7.162
23,Somalia,,706,No,1947.38,1625.713,1373.424,1149.297,902.057,727.844,590.241,484.135,403.009,333.168,270.903,219.835,172.964,295.61
24,South Sudan,,728,No,1776.341,1564.27,1403.766,1243.02,1064.104,870.731,707.568,596.774,498.232,408.062,324.764,247.49,196.853,394.199
25,Uganda,,800,No,7113.52,6020.677,5039.04,4166.876,3428.121,2761.203,2204.23,1722.81,1325.812,1015.4,775.427,610.903,485.439,909.42
26,United Republic of Tanzania,(2),834,No,8637.155,7373.165,6068.411,5104.539,4441.574,3831.462,3190.074,2535.99,1925.613,1493.273,1221.84,1018.691,835.674,1575.667
27,Zambia,,894,No,2663.466,2208.167,1903.597,1574.905,1290.338,1102.222,947.58,777.706,575.276,408.505,294.66,225.613,186.225,380.383
28,Zimbabwe,,716,No,2045.681,1857.314,1703.443,1649.866,1589.304,1420.684,1097.165,691.337,411.281,297.528,283.239,296.146,256.215,550.442
30,Angola,,24,No,4007.994,3389.147,2783.635,2283.36,1892.131,1561.174,1267.04,1011.7,809.799,668.643,541.456,426.188,314.462,514.888
31,Cameroon,,120,No,3627.35,3165.051,2756.202,2410.246,2136.207,1827.65,1471.581,1142.905,900.877,714.023,565.611,452.426,367.611,716.219
32,Central African Republic,,140,No,674.795,600.084,561.015,501.437,444.881,394.626,324.886,255.915,198.754,156.721,130.096,108.941,87.543,176.724
33,Chad,,148,No,2452.74,2034.768,1710.797,1419.037,1154.084,928.332,743.222,583.395,447.124,346.254,282.761,235.202,179.249,308.35
34,Congo,,178,No,736.288,622.456,529.1,447.67,382.844,342.941,304.606,258.581,207.518,162.199,126.205,99.157,77.712,150.353
35,Democratic Republic of the Congo,,180,No,11883.541,9922.372,8526.887,7317.323,6144.755,5000.28,4085.534,3339.295,2760.381,2255.554,1811.813,1425.123,1115.896,1924.922
36,Equatorial Guinea,,226,No,114.266,96.48,82.906,75.759,70.387,59.501,42.952,36.475,40.333,41.352,35.865,25.51,14.251,20.978
37,Gabon,,266,No,242.982,212.2,187.401,170.112,155.387,136.183,114,93.638,78.152,64.684,51.957,42.83,36.082,86.107
38,Sao Tome and Principe,,678,No,30.608,27.332,22.34,19.18,17.664,17.405,15.164,10.396,7.692,6.658,5.319,4.13,2.608,6.497
40,Algeria,,12,No,4474.611,3506.186,2883.23,3331.252,3843.205,4020.116,3617.644,2913.944,2485.129,2097.636,1695.269,1440.03,1087.607,1812.335
41,Egypt,,818,No,9205.789,8526.878,7798.762,7543.065,7614.691,7564.698,6344.859,4970.775,4319.66,4225.179,3788.322,3033.239,2404.687,4715.773
42,Libya,,434,No,641.758,623.196,564.215,538.98,556.188,575.484,574.716,496.966,403.131,324.26,258.341,200.24,146.936,297.112
43,Morocco,,504,No,3444.292,2840.354,2909.071,3075.052,3077.915,2915.189,2675.801,2299.412,2093.687,1945.408,1742.004,1401.93,945.339,1642.696
44,Sudan,(3),729,No,5734.732,5214.72,4679.832,4053.755,3462.819,2952.333,2576.869,2179.86,1776.506,1417.61,1119.513,882.845,685.087,1227.824
